date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,1,0,1,1,0,0
20200309,false,0,0,0,0,0,0,1,0,0,0,0,0
20200310,false,0,0,0,0,0,0,2,1,1,1,0,0
20200311,false,0,0,0,0,0,0,3,1,1,1,0,0
20200312,false,0,0,0,0,0,0,6,2,3,3,1,1
20200313,false,0,0,0,0,0,0,6,2,0,0,0,0
20200314,false,0,0,0,0,0,0,11,3,5,5,1,1
20200315,false,0,0,0,0,0,0,20,6,9,2,3,1
20200316,false,0,0,0,0,0,0,26,7,6,3,2,1
20200317,false,0,0,0,0,0,0,41,11,15,4,4,1
20200318,false,0,0,0,0,0,0,68,19,27,6,8,2
20200319,false,1,0,1,0,0,0,96,27,28,9,8,3
20200320,false,3,1,2,0,1,0,194,54,98,13,27,4
20200321,false,4,1,1,0,0,0,194,54,0,27,0,8
20200322,false,5,1,1,1,0,0,223,63,29,26,8,7
20200323,false,10,3,5,1,1,0,415,116,192,29,54,8
20200324,false,12,3,2,1,1,0,618,173,203,56,57,16
20200325,false,19,5,7,2,2,1,875,245,257,82,72,23
20200326,false,21,6,2,3,1,1,1012,284,137,115,38,32
20200327,false,27,8,6,3,2,1,1291,362,279,131,78,37
20200328,false,33,9,6,3,2,1,1524,427,233,157,65,44
20200329,false,34,10,1,4,0,1,1993,559,469,190,132,53
20200330,false,36,10,2,4,1,1,2571,721,578,253,162,71
20200331,false,69,19,33,4,9,1,3128,877,557,308,156,86
20200401,false,85,24,16,8,4,2,3557,998,429,359,120,101
20200402,false,112,31,27,9,8,3,3824,1073,267,383,75,107
20200403,false,131,37,19,13,5,4,4914,1378,1090,402,306,113
20200404,false,165,46,34,15,10,4,5276,1480,362,518,102,145
20200405,false,189,53,24,19,7,5,5675,1592,399,536,112,150
20200406,false,206,58,17,22,5,6,6906,1937,1231,526,345,148
20200407,false,277,78,71,24,20,7,7781,2182,875,619,245,174
20200408,false,277,78,0,30,0,8,7781,2182,0,665,0,187
20200409,false,380,107,103,27,29,8,9784,2744,2003,603,562,169
20200410,false,448,126,68,38,19,11,10538,2956,754,851,211,239
20200411,false,494,139,46,45,13,13,11510,3228,972,803,273,225
20200412,false,554,155,60,47,17,13,12035,3376,525,891,147,250
20200413,false,602,169,48,52,13,15,13381,3753,1346,909,378,255
20200414,false,671,188,69,57,19,16,13989,3924,608,925,171,259
20200415,false,868,243,197,56,55,16,14755,4139,766,887,215,249
20200416,false,971,272,103,84,29,24,15884,4455,1129,996,317,279
20200417,false,1036,291,65,84,18,24,16809,4715,925,871,259,244
20200418,false,1036,291,0,84,0,24,16809,4715,0,896,0,251
20200419,false,1086,305,50,77,14,22,17550,4922,741,757,208,212
20200420,false,1331,373,245,76,69,21,19815,5558,2265,788,635,221
20200421,false,1423,399,92,104,26,29,20360,5711,545,919,153,258
20200422,false,1544,433,121,107,34,30,22469,6302,2109,910,592,255
20200423,false,1639,460,95,97,27,27,23100,6479,631,1102,177,309
20200424,false,1764,495,125,95,35,27,23921,6709,821,1031,230,289
