date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200302,false,0,0,0,0,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,1,0,1,1,0,0
20200304,false,0,0,0,0,0,0,1,0,0,0,0,0
20200305,false,0,0,0,0,0,0,3,0,2,2,0,0
20200306,false,0,0,0,0,0,0,25,1,22,22,1,1
20200307,false,0,0,0,0,0,0,36,2,11,11,1,1
20200308,false,0,0,0,0,0,0,60,3,24,24,1,1
20200309,false,0,0,0,0,0,0,88,5,28,28,1,1
20200310,false,0,0,0,0,0,0,151,8,63,13,3,1
20200311,false,0,0,0,0,0,0,195,10,44,21,2,1
20200312,false,0,0,0,0,0,0,251,13,56,28,3,1
20200313,false,0,0,0,0,0,0,353,18,102,35,5,2
20200314,false,0,0,0,0,0,0,517,27,164,47,8,2
20200315,false,3,0,3,0,0,0,648,33,131,69,7,4
20200316,false,7,0,4,0,0,0,942,48,294,84,15,4
20200317,false,7,0,0,1,0,0,1374,71,432,122,22,6
20200318,false,12,1,5,1,0,0,2383,122,1009,175,52,9
20200319,false,12,1,0,2,0,0,4152,213,1769,313,91,16
20200320,false,35,2,23,2,1,0,7102,365,2950,557,152,29
20200321,false,44,2,9,5,0,0,10356,532,3254,964,167,50
20200322,false,114,6,70,6,4,0,15168,780,4812,1406,247,72
20200323,false,114,6,0,16,0,1,20875,1073,5707,2074,293,107
20200324,false,210,11,96,15,5,1,25665,1319,4790,2848,246,146
20200325,false,285,15,75,29,4,1,30810,1584,5145,3470,264,178
20200326,false,385,20,100,39,5,2,37258,1915,6448,4061,331,209
20200327,false,519,27,134,53,7,3,44637,2295,7379,4729,379,243
20200328,false,728,37,209,69,11,4,52318,2689,7681,5362,395,276
20200329,false,965,50,237,98,12,5,59513,3059,7195,5995,370,308
20200330,false,1218,63,253,122,13,6,66497,3418,6984,6335,359,326
20200331,false,1550,80,332,158,17,8,75795,3896,9298,6517,478,335
20200401,false,1941,100,391,191,20,10,83712,4303,7917,7161,407,368
20200402,false,2373,122,432,237,22,12,92381,4749,8669,7557,446,388
20200403,false,2935,151,562,284,29,15,102863,5288,10482,7875,539,405
20200404,false,3565,183,630,345,32,18,113704,5845,10841,8318,557,428
20200405,false,4159,214,594,405,31,21,122031,6273,8327,8769,428,451
20200406,false,4758,245,599,456,31,23,130689,6718,8658,8931,445,459
20200407,false,5489,282,731,506,38,26,138863,7138,8174,9170,420,471
20200408,false,6268,322,779,563,40,29,149316,7676,10453,9010,537,463
20200409,false,7067,363,799,618,41,32,159937,8221,10621,9372,546,482
20200410,false,7844,403,777,671,40,34,170512,8765,10575,9651,544,496
20200411,false,8627,443,783,701,40,36,180458,9276,9946,9664,511,497
20200412,false,9385,482,758,723,39,37,188694,9700,8236,9536,423,490
20200413,false,10056,517,671,747,34,38,195031,10025,6337,9523,326,490
20200414,false,10834,557,778,757,40,39,202208,10394,7177,9192,369,473
20200415,false,11586,596,752,764,39,39,213779,10989,11571,9049,595,465
20200416,false,12192,627,606,760,31,39,222284,11426,8505,9209,437,473
20200417,false,12822,659,630,732,32,38,229642,11805,7358,8907,378,458
20200418,false,13362,687,540,711,28,37,236732,12169,7090,8447,364,434
20200419,false,13869,713,507,676,26,35,242786,12480,6054,8039,311,413
20200420,false,14347,737,478,641,25,33,247512,12723,4726,7727,243,397
20200421,false,14828,762,481,613,25,32,251690,12938,4178,7497,215,385
20200422,false,15302,787,474,571,24,29,257216,13222,5526,7069,284,363
20200423,false,15740,809,438,531,23,27,263460,13543,6244,6205,321,319
20200424,false,16162,831,422,507,22,26,271590,13961,8130,5882,418,302
20200425,false,16599,853,437,477,22,25,282143,14503,10553,5993,542,308
20200426,false,16966,872,367,462,19,24,288045,14807,5902,6487,303,333
20200427,false,17303,889,337,442,17,23,291996,15010,3951,6466,203,332
20200428,false,17638,907,335,422,17,22,295106,15170,3110,6355,160,327
20200429,false,18015,926,377,401,19,21,299691,15405,4585,6202,236,319
20200430,false,18321,942,306,388,16,20,304372,15646,4681,6068,241,312
20200501,false,18610,957,289,369,15,19,308314,15849,3942,5845,203,300
20200502,false,18909,972,299,350,15,18,312977,16088,4663,5246,240,270
20200503,false,19189,986,280,330,14,17,316415,16265,3438,4405,177,226
20200504,false,19415,998,226,318,12,16,318953,16396,2538,4053,130,208
20200505,false,19645,1010,230,302,12,16,321192,16511,2239,3851,115,198
20200506,false,19877,1022,232,287,12,15,323978,16654,2786,3727,143,192
20200507,false,20828,1071,951,266,49,14,327469,16833,3491,3470,179,178
20200508,false,21045,1082,217,358,11,18,330407,16984,2938,3300,151,170
20200509,false,21271,1093,226,348,12,18,333122,17124,2715,3156,140,162
20200510,false,21478,1104,207,337,11,17,335395,17241,2273,2878,117,148
20200511,false,21640,1112,162,327,8,17,337055,17326,1660,2711,85,139
20200512,false,21845,1123,205,318,11,16,338485,17400,1430,2586,74,133
20200513,false,22013,1132,168,314,9,16,340661,17511,2176,2470,112,127
20200514,false,22170,1140,157,305,8,16,343051,17634,2390,2383,123,122
20200515,false,22304,1147,134,192,7,10,345813,17776,2762,2226,142,114
20200516,false,22478,1155,174,180,9,9,348232,17901,2419,2201,124,113
20200517,false,22619,1163,141,172,7,9,350121,17998,1889,2159,97,111
20200518,false,22729,1168,110,163,6,8,351371,18062,1250,2104,64,108
20200519,false,22843,1174,114,156,6,8,352845,18138,1474,2045,76,105
20200520,false,22976,1181,133,143,7,7,354370,18216,1525,2051,78,105
20200521,false,23083,1187,107,138,6,7,356458,18324,2088,1958,107,101
20200522,false,23195,1192,112,130,6,7,358154,18411,1696,1915,87,98
20200523,false,23282,1197,87,127,4,7,359926,18502,1772,1763,91,91
20200524,false,23391,1202,109,115,6,6,361515,18583,1589,1671,82,86
20200525,false,23488,1207,97,110,5,6,362764,18648,1249,1628,64,84
20200526,false,23564,1211,76,108,4,6,363836,18703,1072,1628,55,84
20200527,false,23643,1215,79,103,4,5,364965,18761,1129,1570,58,81
20200528,false,23722,1219,79,95,4,5,366733,18852,1768,1514,91,78
20200529,false,23780,1222,58,91,3,5,368284,18931,1551,1468,80,75
20200530,false,23848,1226,68,84,3,4,369660,19002,1376,1447,71,74
20200531,false,23905,1229,57,81,3,4,370770,19059,1110,1391,57,72
20200601,false,23959,1232,54,73,3,4,371711,19108,941,1322,48,68
20200602,false,24023,1235,64,67,3,3,373040,19176,1329,1278,68,66
20200603,false,24079,1238,56,66,3,3,374085,19230,1045,1315,54,68
20200604,false,24133,1241,54,62,3,3,375133,19284,1048,1303,54,67
20200605,false,24175,1243,42,59,2,3,376208,19339,1075,1200,55,62
20200606,false,24212,1245,37,56,2,3,377316,19396,1108,1132,57,58
20200607,false,24259,1247,47,52,2,3,378097,19436,781,1094,40,56
20200608,false,24299,1249,40,51,2,3,378799,19472,702,1047,36,54
20200609,false,24348,1252,49,49,3,3,379482,19507,683,1013,35,52
20200610,false,24404,1254,56,46,3,2,380156,19542,674,920,35,47
20200611,false,24442,1256,38,46,2,2,380892,19580,736,867,38,45
20200612,false,24495,1259,53,44,3,2,381714,19622,822,823,42,42
20200613,false,24527,1261,32,46,2,2,382630,19669,916,787,47,40
20200614,false,24551,1262,24,45,1,2,383324,19705,694,759,36,39
20200615,false,24579,1263,28,42,1,2,383944,19736,620,747,32,38
20200616,false,24608,1265,29,40,1,2,384575,19769,631,735,32,38
20200617,false,24629,1266,21,37,1,2,385142,19798,567,728,29,37
20200618,false,24661,1268,32,32,2,2,385760,19830,618,712,32,37
20200619,false,24686,1269,25,31,1,2,386556,19871,796,695,41,36
20200620,false,24710,1270,24,27,1,1,387272,19908,716,692,37,36
20200621,false,24725,1271,15,26,1,1,387936,19942,664,663,34,34
20200622,false,24739,1272,14,25,1,1,388488,19970,552,659,28,34
20200623,false,24766,1273,27,23,1,1,389085,20001,597,649,31,33
20200624,false,24782,1274,16,23,1,1,389666,20031,581,644,30,33
20200625,false,24800,1275,18,22,1,1,390415,20069,749,646,39,33
20200626,false,24814,1276,14,20,1,1,391220,20110,805,665,41,34
20200627,false,24830,1276,16,18,1,1,391923,20147,703,666,36,34
20200628,false,24835,1277,5,17,0,1,392539,20178,616,664,32,34
20200629,false,24842,1277,7,16,0,1,392930,20198,391,658,20,34
20200630,false,24855,1278,13,15,1,1,393454,20225,524,635,27,33
20200701,false,24866,1278,11,13,1,1,394079,20257,625,624,32,32
20200702,false,24877,1279,11,12,1,1,394954,20302,875,630,45,32
20200703,false,24885,1279,8,11,0,1,395872,20350,918,648,47,33
20200704,false,24896,1280,11,10,1,1,396598,20387,726,665,37,34
20200705,false,24904,1280,8,9,0,0,397131,20414,533,668,27,34
20200706,false,24913,1281,9,10,0,1,397649,20441,518,656,27,34
20200707,false,24924,1281,11,10,1,1,398237,20471,588,674,30,35
20200708,false,24944,1282,20,10,1,1,398929,20507,692,683,36,35
20200709,false,24959,1283,15,11,1,1,399513,20537,584,693,30,36
20200710,false,24968,1283,9,12,0,1,400299,20577,786,651,40,33
20200711,false,24974,1284,6,12,0,1,401029,20615,730,632,38,32
20200712,false,24979,1284,5,11,0,1,401706,20649,677,633,35,33
20200713,false,24989,1285,10,11,1,1,402263,20678,557,654,29,34
20200714,false,24994,1285,5,11,0,1,403175,20725,912,659,47,34
20200715,false,25003,1285,9,10,0,1,404006,20768,831,705,43,36
20200716,false,25014,1286,11,8,1,0,404775,20807,769,725,40,37
20200717,false,25024,1286,10,8,1,0,405551,20847,776,752,40,39
20200718,false,25035,1287,11,8,1,0,406305,20886,754,750,39,39
20200719,false,25048,1288,13,9,1,0,406807,20912,502,754,26,39
20200720,false,25056,1288,8,10,0,1,407326,20938,519,729,27,37
20200721,false,25058,1288,2,10,0,1,408181,20982,855,723,44,37
20200722,false,25068,1289,10,9,1,0,408886,21019,705,715,36,37
20200723,false,25081,1289,13,9,1,0,409697,21060,811,697,42,36
20200724,false,25090,1290,9,10,0,1,410450,21099,753,703,39,36
20200725,false,25103,1290,13,9,1,0,411200,21138,750,700,39,36
20200726,false,25106,1291,3,10,0,1,411736,21165,536,699,28,36
20200727,false,25117,1291,11,8,1,0,412344,21196,608,704,31,36
20200728,false,25126,1292,9,9,0,0,412878,21224,534,717,27,37
20200729,false,25132,1292,6,10,0,1,413593,21261,715,671,37,34
20200730,false,25145,1293,13,9,1,0,414370,21300,777,672,40,35
20200731,false,25150,1293,5,9,0,0,415014,21334,644,668,33,34
20200801,false,25164,1294,14,9,1,0,415767,21372,753,652,39,34
20200802,false,25170,1294,6,9,0,0,416298,21400,531,652,27,34
20200803,false,25172,1294,2,9,0,0,416843,21428,545,652,28,34
20200804,false,25175,1294,3,8,0,0,417589,21466,746,643,38,33
20200805,false,25179,1294,4,7,0,0,418225,21499,636,673,33,35
20200806,false,25185,1295,6,7,0,0,418928,21535,703,662,36,34
20200807,false,25190,1295,5,6,0,0,419642,21571,714,651,37,33
20200808,false,25195,1295,5,6,0,0,420345,21608,703,661,36,34
20200809,false,25202,1295,7,4,0,0,420860,21634,515,654,26,34
20200810,false,25204,1296,2,5,0,0,421336,21659,476,652,24,34
20200811,false,25211,1296,7,5,0,0,422003,21693,667,642,34,33
20200812,false,25218,1296,7,5,0,0,422703,21729,700,631,36,32
20200813,false,25228,1297,10,6,1,0,423440,21767,737,640,38,33
