date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,1,1,1,1,1,1
20200313,false,0,0,0,0,0,0,1,1,0,0,0,0
20200314,false,0,0,0,0,0,0,5,5,4,4,4,4
20200315,false,0,0,0,0,0,0,7,7,2,1,2,1
20200316,false,0,0,0,0,0,0,7,7,0,1,0,1
20200317,false,0,0,0,0,0,0,8,7,1,1,1,1
20200318,false,0,0,0,0,0,0,10,9,2,1,2,1
20200319,false,0,0,0,0,0,0,12,11,2,1,2,1
20200320,false,0,0,0,0,0,0,16,15,4,2,4,2
20200321,false,0,0,0,0,0,0,20,19,4,2,4,2
20200322,false,0,0,0,0,0,0,31,29,11,2,10,2
20200323,false,0,0,0,0,0,0,34,32,3,3,3,3
20200324,false,0,0,0,0,0,0,46,43,12,4,11,4
20200325,false,0,0,0,0,0,0,53,50,7,5,7,5
20200326,false,0,0,0,0,0,0,71,66,18,6,17,6
20200327,false,0,0,0,0,0,0,108,101,37,8,35,7
20200328,false,1,1,1,0,1,0,129,121,21,13,20,12
20200329,false,1,1,0,0,0,0,154,144,25,16,23,15
20200330,false,4,4,3,0,3,0,171,160,17,18,16,17
20200331,false,4,4,0,1,0,1,184,172,13,20,12,19
20200401,false,5,5,1,1,1,1,208,195,24,20,22,19
20200402,false,5,5,0,1,0,1,227,212,19,22,18,21
20200403,false,5,5,0,1,0,1,243,227,16,22,15,21
20200404,false,5,5,0,1,0,1,265,248,22,19,21,18
20200405,false,6,6,1,1,1,1,286,268,21,19,20,18
20200406,false,6,6,0,1,0,1,299,280,13,19,12,18
20200407,false,6,6,0,0,0,0,319,298,20,18,19,17
20200408,false,6,6,0,0,0,0,332,311,13,19,12,18
20200409,false,6,6,0,0,0,0,354,331,22,18,21,17
20200410,false,6,6,0,0,0,0,365,342,11,18,10,17
20200411,false,6,6,0,0,0,0,377,353,12,17,11,16
20200412,false,6,6,0,0,0,0,387,362,10,16,9,15
20200413,false,7,7,1,0,1,0,394,369,7,14,7,13
20200414,false,7,7,0,0,0,0,399,373,5,14,5,13
20200415,false,7,7,0,0,0,0,404,378,5,11,5,10
20200416,false,7,7,0,0,0,0,415,388,11,10,10,9
20200417,false,8,7,1,0,1,0,422,395,7,9,7,8
20200418,false,10,9,2,0,2,0,426,399,4,8,4,7
20200419,false,10,9,0,1,0,1,433,405,7,7,7,7
20200420,false,10,9,0,1,0,1,433,405,0,7,0,7
20200421,false,12,11,2,0,2,0,437,409,4,6,4,6
20200422,false,14,13,2,1,2,1,439,411,2,5,2,5
20200423,false,14,13,0,1,0,1,442,414,3,5,3,5
20200424,false,14,13,0,1,0,1,444,415,2,4,2,4
20200425,false,14,13,0,1,0,1,445,416,1,3,1,3
20200426,false,14,13,0,1,0,1,448,419,3,3,3,3
20200427,false,14,13,0,1,0,1,449,420,1,2,1,2
20200428,false,15,14,1,1,1,1,451,422,2,2,2,2
20200429,false,16,15,1,0,1,0,451,422,0,2,0,2
20200430,false,16,15,0,0,0,0,453,424,2,2,2,2
20200501,false,16,15,0,0,0,0,453,424,0,2,0,2
20200502,false,16,15,0,0,0,0,455,426,2,1,2,1
20200503,false,16,15,0,0,0,0,455,426,0,1,0,1
20200504,false,16,15,0,0,0,0,457,428,2,1,2,1
20200505,false,16,15,0,0,0,0,456,427,-1,1,-1,1
20200506,false,16,15,0,0,0,0,456,427,0,1,0,1
20200507,false,16,15,0,0,0,0,456,427,0,1,0,1
20200508,false,16,15,0,0,0,0,458,429,2,0,2,0
20200509,false,16,15,0,0,0,0,458,429,0,1,0,1
20200510,false,16,15,0,0,0,0,458,429,0,0,0,0
20200511,false,16,15,0,0,0,0,459,429,1,0,1,0
20200512,false,16,15,0,0,0,0,461,431,2,0,2,0
