date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,3,1,3,3,1
20200310,false,0,0,0,0,0,8,3,5,5,2
20200311,false,0,0,0,0,0,13,4,5,5,2
20200312,false,0,0,0,0,0,14,4,1,1,0
20200313,false,0,0,0,0,0,16,5,2,2,1
20200314,false,0,0,0,0,0,17,5,1,2,1
20200315,false,0,0,0,0,0,18,6,1,2,1
20200316,false,0,0,0,0,0,22,7,4,3,1
20200317,false,0,0,0,0,0,23,7,1,3,1
20200318,false,0,0,0,0,0,29,9,6,2,1
20200319,false,0,0,0,0,0,38,12,9,2,1
20200320,false,0,0,0,0,0,45,14,7,3,1
20200321,false,0,0,0,0,0,68,22,23,4,1
20200322,false,0,0,0,0,0,90,29,22,7,2
20200323,false,0,0,0,0,0,105,33,15,10,3
20200324,false,0,0,0,0,0,124,39,19,12,4
20200325,false,1,0,1,0,0,145,46,21,14,4
20200326,false,1,0,0,0,0,179,57,34,17,5
20200327,false,3,1,2,0,0,235,74,56,20,6
20200328,false,3,1,0,0,0,298,94,63,27,9
20200329,false,4,1,1,0,0,336,106,38,33,10
20200330,false,6,2,2,1,0,424,134,88,35,11
20200331,false,7,2,1,1,0,497,158,73,46,15
20200401,false,9,3,2,1,0,549,174,52,53,17
20200402,false,11,3,2,1,0,614,195,65,58,18
20200403,false,11,3,0,1,0,699,222,85,62,20
20200404,false,14,4,3,1,0,786,249,87,66,21
20200405,false,22,7,8,2,1,868,275,82,70,22
20200406,false,25,8,3,3,1,946,300,78,76,24
20200407,false,26,8,1,3,1,1048,332,102,75,24
20200408,false,27,9,1,3,1,1145,363,97,79,25
20200409,false,29,9,2,3,1,1270,403,125,85,27
20200410,false,31,10,2,3,1,1388,440,118,94,30
20200411,false,34,11,3,3,1,1510,479,122,98,31
20200412,false,41,13,7,3,1,1587,503,77,103,33
20200413,false,43,14,2,3,1,1710,542,123,103,33
20200414,false,49,16,6,3,1,1899,602,189,109,35
20200415,false,53,17,4,3,1,1995,632,96,122,39
20200416,false,60,19,7,4,1,2141,679,146,121,38
20200417,false,64,20,4,4,1,2332,739,191,124,39
20200418,false,74,23,10,5,2,2513,796,181,135,43
20200419,false,75,24,1,6,2,2902,920,389,143,45
20200420,false,79,25,4,5,2,3159,1001,257,188,60
20200421,false,83,26,4,5,2,3641,1154,482,207,66
20200422,false,90,29,7,5,2,3748,1188,107,249,79
20200423,false,96,30,6,5,2,3924,1244,176,250,79
20200424,false,107,34,11,5,2,4445,1409,521,255,81
20200425,false,112,35,5,6,2,5092,1614,647,302,96
20200426,false,118,37,6,5,2,5476,1736,384,368,117
20200427,false,127,40,9,6,2,5868,1860,392,368,117
20200428,false,136,43,9,7,2,6376,2021,508,387,123
20200429,false,148,47,12,8,3,6843,2169,467,391,124
20200430,false,162,51,14,8,3,7145,2265,302,442,140
20200501,false,170,54,8,9,3,7884,2499,739,460,146
20200502,false,175,55,5,9,3,8641,2739,757,491,156
20200503,false,184,58,9,9,3,9169,2906,528,507,161
20200504,false,188,60,4,9,3,9703,3075,534,528,167
20200505,false,207,66,19,9,3,10111,3205,408,548,174
20200506,false,219,69,12,10,3,10404,3298,293,534,169
20200507,false,231,73,12,10,3,11059,3505,655,509,161
20200508,false,243,77,12,10,3,11457,3631,398,559,177
20200509,false,252,80,9,10,3,11671,3699,214,510,162
20200510,false,265,84,13,11,3,11959,3790,288,433,137
20200511,false,271,86,6,12,4,12373,3922,414,399,126
20200512,false,289,92,18,12,4,12912,4092,539,381,121
20200513,false,306,97,17,12,4,13289,4212,377,400,127
20200514,false,318,101,12,12,4,13675,4334,386,412,131
20200515,false,336,106,18,12,4,14049,4453,374,374,119
20200516,false,346,110,10,13,4,14328,4541,279,370,117
20200517,false,351,111,5,13,4,14651,4644,323,380,120
20200518,false,355,113,4,12,4,14955,4740,304,385,122
20200519,false,372,118,17,12,4,15349,4865,394,369,117
20200520,false,388,123,16,12,4,15614,4949,265,348,110
20200521,false,406,129,18,12,4,16170,5125,556,332,105
20200522,false,425,135,19,13,4,16504,5231,334,356,113
20200523,false,444,141,19,13,4,16893,5354,389,351,111
20200524,false,454,144,10,14,4,17252,5468,359,366,116
20200525,false,459,145,5,15,5,17577,5571,325,372,118
