date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,1,2,1,1,2,2
20200313,false,0,0,0,0,0,0,1,2,0,0,0,0
20200314,false,0,0,0,0,0,0,2,3,1,1,2,2
20200315,false,0,0,0,0,0,0,3,5,1,0,2,0
20200316,false,0,0,0,0,0,0,3,5,0,0,0,0
20200317,false,0,0,0,0,0,0,10,17,7,0,12,0
20200318,false,0,0,0,0,0,0,15,26,5,1,9,2
20200319,false,0,0,0,0,0,0,18,31,3,2,5,3
20200320,false,0,0,0,0,0,0,19,33,1,2,2,3
20200321,false,0,0,0,0,0,0,23,40,4,3,7,5
20200322,false,0,0,0,0,0,0,24,41,1,3,2,5
20200323,false,0,0,0,0,0,0,26,45,2,3,3,5
20200324,false,0,0,0,0,0,0,29,50,3,3,5,5
20200325,false,0,0,0,0,0,0,44,76,15,3,26,5
20200326,false,0,0,0,0,0,0,53,92,9,4,16,7
20200327,false,0,0,0,0,0,0,70,121,17,5,29,9
20200328,false,0,0,0,0,0,0,82,142,12,7,21,12
20200329,false,0,0,0,0,0,0,86,149,4,8,7,14
20200330,false,0,0,0,0,0,0,94,162,8,9,14,16
20200331,false,0,0,0,0,0,0,109,188,15,10,26,17
20200401,false,0,0,0,0,0,0,130,225,21,11,36,19
20200402,false,0,0,0,0,0,0,150,259,20,12,35,21
20200403,false,0,0,0,0,0,0,162,280,12,14,21,24
20200404,false,0,0,0,0,0,0,187,323,25,13,43,22
20200405,false,0,0,0,0,0,0,197,340,10,15,17,26
20200406,false,0,0,0,0,0,0,210,363,13,16,22,28
20200407,false,0,0,0,0,0,0,216,373,6,17,10,29
20200408,false,0,0,0,0,0,0,303,524,87,15,150,26
20200409,false,0,0,0,0,0,0,320,553,17,25,29,43
20200410,false,0,0,0,0,0,0,340,587,20,24,35,41
20200411,false,0,0,0,0,0,0,343,593,3,25,5,43
20200412,false,0,0,0,0,0,0,364,629,21,22,36,38
20200413,false,1,2,1,0,2,0,373,644,9,24,16,41
20200414,false,1,2,0,0,0,0,383,662,10,23,17,40
20200415,false,2,3,1,0,2,0,393,679,10,24,17,41
20200416,false,2,3,0,0,0,0,401,693,8,13,14,22
20200417,false,2,3,0,0,0,0,412,712,11,12,19,21
20200418,false,2,3,0,0,0,0,422,729,10,10,17,17
20200419,false,2,3,0,0,0,0,426,736,4,11,7,19
20200420,false,2,3,0,0,0,0,428,740,2,9,3,16
20200421,false,6,10,4,0,7,0,441,762,13,8,22,14
20200422,false,6,10,0,1,0,2,447,772,6,8,10,14
20200423,false,7,12,1,1,2,2,453,783,6,8,10,14
20200424,false,7,12,0,1,0,2,473,817,20,7,35,12
20200425,false,7,12,0,1,0,2,491,848,18,9,31,16
20200426,false,7,12,0,1,0,2,502,867,11,10,19,17
20200427,false,7,12,0,1,0,2,520,898,18,11,31,19
20200428,false,7,12,0,1,0,2,536,926,16,13,28,22
20200429,false,7,12,0,0,0,0,544,940,8,14,14,24
20200430,false,7,12,0,0,0,0,559,966,15,14,26,24
20200501,false,7,12,0,0,0,0,566,978,7,15,12,26
20200502,false,7,12,0,0,0,0,579,1000,13,13,22,22
20200503,false,7,12,0,0,0,0,586,1013,7,13,12,22
20200504,false,7,12,0,0,0,0,596,1030,10,12,17,21
20200505,false,7,12,0,0,0,0,604,1044,8,11,14,19
20200506,false,7,12,0,0,0,0,631,1090,27,10,47,17
20200507,false,7,12,0,0,0,0,635,1097,4,12,7,21
20200508,false,7,12,0,0,0,0,644,1113,9,11,16,19
20200509,false,7,12,0,0,0,0,653,1128,9,11,16,19
20200510,false,7,12,0,0,0,0,662,1144,9,11,16,19
20200511,false,7,12,0,0,0,0,669,1156,7,11,12,19
20200512,false,7,12,0,0,0,0,675,1166,6,10,10,17
