date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion
20200304,false,0,0,0,0,0,3,1,0,0,0
20200305,false,0,0,0,0,0,3,1,0,0,0
20200306,false,0,0,0,0,0,3,1,0,0,0
20200307,false,0,0,0,0,0,7,2,4,4,1
20200308,false,0,0,0,0,0,14,3,7,7,2
20200309,false,0,0,0,0,0,14,3,0,0,0
20200310,false,0,0,0,0,0,15,4,1,1,0
20200311,false,0,0,0,0,0,19,5,4,4,1
20200312,false,0,0,0,0,0,19,5,0,2,0
20200313,false,0,0,0,0,0,30,7,11,2,0
20200314,false,0,0,0,0,0,30,7,0,4,1
20200315,false,0,0,0,0,0,36,9,6,3,1
20200316,false,0,0,0,0,0,39,9,3,3,1
20200317,false,0,0,0,0,0,47,11,8,4,1
20200318,false,3,1,3,0,0,75,18,28,5,1
20200319,false,3,1,0,0,0,88,21,13,8,2
20200320,false,3,1,0,0,0,114,27,26,10,2
20200321,false,3,1,0,0,0,114,27,0,12,3
20200322,false,4,1,1,0,0,161,38,47,12,3
20200323,false,5,1,1,1,0,191,45,30,18,4
20200324,false,8,2,3,1,0,209,50,18,22,5
20200325,false,8,2,0,1,0,209,50,0,23,5
20200326,false,11,3,3,1,0,327,78,118,19,5
20200327,false,12,3,1,1,0,414,98,87,34,8
20200328,false,13,3,1,1,0,479,114,65,43,10
20200329,false,13,3,0,1,0,548,130,69,52,12
20200330,false,16,4,3,1,0,606,144,58,55,13
20200331,false,18,4,2,2,0,690,164,84,59,14
20200401,false,18,4,0,1,0,736,175,46,69,16
20200402,false,21,5,3,1,0,826,196,90,75,18
20200403,false,22,5,1,1,0,899,213,73,71,17
20200404,false,26,6,4,1,0,999,237,100,69,16
20200405,false,27,6,1,2,0,1068,253,69,74,18
20200406,false,27,6,0,2,0,1132,268,64,74,18
20200407,false,33,8,6,2,0,1181,280,49,75,18
20200408,false,33,8,0,2,0,1239,294,58,70,17
20200409,false,44,10,11,2,0,1321,313,82,72,17
20200410,false,44,10,0,3,1,1321,313,0,71,17
20200411,false,48,11,4,3,1,1371,325,50,60,14
20200412,false,52,12,4,3,1,1527,362,156,53,13
20200413,false,53,13,1,4,1,1584,376,57,66,16
20200414,false,55,13,2,4,1,1633,387,49,65,15
20200415,false,58,14,3,3,1,1663,394,30,65,15
20200416,false,64,15,6,4,1,1736,412,73,61,14
20200417,false,70,17,6,3,1,1785,423,49,59,14
